diameter,large,mid,small ,combustible ,garbage,umbrella
8,0,0,20,5,5,2
12,0,0,52,13,11,5
16,0,23,88,27,23,14
20,0,77,114,47,39,28
24,0,167,137,75,62,45
28,78,291,84,110,84,69
32,213,355,53,151,115,99
36,467,358,24,191,156,139
40,780,306,0,260,183,185
44,1125,248,0,305,228,242
48,1499,187,0,375,281,309
52,1894,170,0,452,312,387
56,2292,133,0,532,365,468
60,2779,77,0,579,425,560
64,3244,45,0,711,444,662
68,3733,0,0,746,498,756
72,4234,0,0,847,564,875
76,4753,0,0,904,597,988
80,5326,0,0,1051,631,1128
84,6629,0,0,1205,775,1403
88,6449,0,0,1256,670,1382
92,7101,0,0,1275,728,1520
96,7679,0,0,1378,788,1664
100,8299,0,0,1490,851,1819
