diameter,I,II ,III ,IV,V,VI
8,15.0 - 13.6,13.5 - 12.1,12.0 - 10.6,10.5-9.1,9.0-7.6,7.5-5.5
12,17.5 - 15.6,15.5 - 13.6,13.5 -12.1,12.0 - 10.6,10.5 - 9.1,9.0 - 7.0
16,20.0 - 18.1,18.0 - 16.1,16.0 - 14.1 ,14.0 - 12.6,12.5 - 11.1,11.0 - 9.0
20,22.0 - 20.1,20.0 - 18.1,18.0 - 16.1,16.0 - 14.1,14.0 - 12.6,12.5 - 11.0
24,24.0 - 22.1,22.0 - 20.1,20.0 - 18.1,18.0 - 16.1,16.0 -14.1,14.0 - 12.5
28,25.5 - 23.6,23.5 - 21.6,21.5 - 19.6,19.5 - 17.6,17.5 - 15.6,15.5 - 14.0
32,27.0 - 25.1,25.0 - 23.1,23.0 - 21.1,21.0 - 19.1,19.0 - 17.1,17.0 - 15.5
36,28.5 - 26.6,26.5 - 24.6,24.5 - 22.6,22.5 - 20.6,20.5 - 18.6,18.5 - 16.5
40,29.5 - 27.6,27.5 - 25.6,25.5 - 23.6,23.5 - 21.6,21.5 - 19.6,19.5 - 17.5
44,30.5 - 28.6,28.5 - 26.6,26.5 - 24.6,24.5 - 22.6,22.5 - 20.6,20.5 - 18.5
48,31.5 - 29.6,29.5 - 27.6,27.5 - 25.6,25.5 - 23.6,23.5 -21.6,21.5 - 19.5
52,32.5 - 30.6,30.5 - 28.6 ,28.5 - 26.6 ,26.5 - 24.6,24.5 - 22.6,22.5 - 20.5
56,33.0 - 31.1 ,31.0 - 29.1,29.0 - 27.1 ,27.0 - 25.1 ,25.0 - 23.1,23.0 - 21.0
60,33.5 - 31.6,31.5 - 29.6 ,29.5 - 27.6,27.5 - 25.6,25.5 - 23.6,
64,34.0 - 32.1,32.0 - 30.1,30.0 - 28.1 ,28.0 - 26.1,26.0 - 24.1,
68,34.0 - 32.1,32.0 - 30.1,30.0 - 28.1 ,28.0 - 26.1,26.0 - 24.1,
72,34.5 - 32.6,32.5 - 30.6,30.5 - 28.6,28.5 - 26.6,26.5 - 24.6,
76,34.5 - 32.6,32.5 - 30.6,30.5 - 28.6,28.5 - 26.6,26.5 - 24.6,
80,35.0 - 33.1,33.0 - 31.1,31.0 - 29.1,29.0 - 27.1,,
84,35.0 - 33.1,33.0 - 31.1,31.0 - 29.1,,,
88,35.0 - 33.1,33.0 - 31.1,31.0 - 29.1,,,
92,35.0 - 33.1,33.0 - 31.1,31.0 - 29.1,,,
96,35.0 - 33.1,33.0 - 31.1,31.0 - 29.1,,,
100,35.0 - 33.1,33.0 - 31.1,31.0 - 29.1,,,
