diameter	large	mid	small	combustible	garbage	umbrella
8	0	0	20	9	5	2
12	0	0	56	25	10	7
16	0	25	93	51	22	20
20	0	86	124	86	37	43
24	0	205	131	134	55	74
28	100	261	138	191	77	117
32	267	288	122	250	100	170
36	503	299	109	320	128	235
40	823	309	34	393	156	309
44	1142	296	0	489	188	400
48	1470	254	0	590	220	494
52	1825	239	0	674	254	601
56	2204	210	0	791	294	721
60	2636	162	0	921	337	856
64	3116	92	0	997	378	981
68	3590	0	0	1118	420	1113
72	4064	0	0	1268	473	1277
76	4447	0	0	1476	522	1437
80	4903	0	0	1630	572	1606
84	5296	0	0	1869	622	1776
88	5866	0	0	2081	680	1987
92	6281	0	0	2357	737	2175
96	6805	0	0	2556	796	2377
100	7243	0	0	2873	858	2590
104	7676	0	0	3212	921	2811
108	8113	0	0	3578	986	3043
112	8665	0	0	4023	1067	3315
116	9096	0	0	4440	1135	3550
120	9528	0	0	4886	1206	3796
124	9959	0	0	5362	1278	4050
128	10380	0	0	5863	1351	4311
132	10799	0	0	6394	1426	4580
136	11206	0	0	6952	1502	4856
140	11601	0	0	7865	1606	5226
144	11948	0	0	8505	1685	5521
148	12354	0	0	9228	1770	5838
152	12712	0	0	10005	1860	6169
156	13058	0	0	10737	1946	6487
160	13392	0	0	11585	2040	6835
164	13714	0	0	12451	2134	7188
168	14023	0	0	13373	2231	7555
172	14320	0	0	14313	2328	7926
176	14605	0	0	15306	2429	8311
180	14878	0	0	16318	2529	8701
184	15138	0	0	17384	2633	9105
188	15386	0	0	18467	2737	9513
192	15622	0	0	19603	2844	9898
196	15846	0	0	20768	2952	10287
200	16058	0	0	21962	3060	10681
